Filename,Time (s),Memory (B),Path
Linker/,0.13,76005376,Linker/
tijsAndXis_From_xi_Ri_noise.cpp,3.83,550551552,openMVG/linearProgramming/lInfinityCV/tijsAndXis_From_xi_Ri_noise.cpp
cxsparse.cc,1.63,351879168,third_party/ceres-solver/internal/ceres/cxsparse.cc
triplet_tijsAndXis_kernel.cpp,3.62,559906816,openMVG/linearProgramming/lInfinityCV/triplet_tijsAndXis_kernel.cpp
metric_test.cpp,3.12,509280256,openMVG/matching/metric_test.cpp
Linker/,0.02,21823488,Linker/
half_space_intersection_test.cpp,16.58,1447821312,openMVG/geometry/half_space_intersection_test.cpp
Linker/,0.12,74039296,Linker/
dense_normal_cholesky_solver.cc,8.53,699957248,third_party/ceres-solver/internal/ceres/dense_normal_cholesky_solver.cc
indMatch_test.cpp,5.30,690634752,openMVG/matching/indMatch_test.cpp
Linker/,0.02,21790720,Linker/
matching_filters_test.cpp,3.44,592248832,openMVG/matching/matching_filters_test.cpp
Linker/,0.02,21741568,Linker/
siftmatch.cpp,20.61,1576976384,openMVG_Samples/features_siftPutativeMatches/siftmatch.cpp
Linker/,0.07,46710784,Linker/
detect_structure.cc,1.98,379076608,third_party/ceres-solver/internal/ceres/detect_structure.cc
dense_sparse_matrix.cc,4.87,504283136,third_party/ceres-solver/internal/ceres/dense_sparse_matrix.cc
dynamic_compressed_row_jacobian_writer.cc,2.08,431882240,third_party/ceres-solver/internal/ceres/dynamic_compressed_row_jacobian_writer.cc
dense_qr_solver.cc,14.74,1042432000,third_party/ceres-solver/internal/ceres/dense_qr_solver.cc
covariance_impl.cc,24.46,1325203456,third_party/ceres-solver/internal/ceres/covariance_impl.cc
file.cc,0.99,232751104,third_party/ceres-solver/internal/ceres/file.cc
dynamic_compressed_row_sparse_matrix.cc,2.36,393445376,third_party/ceres-solver/internal/ceres/dynamic_compressed_row_sparse_matrix.cc
describe_and_match.cpp,26.18,1737015296,openMVG_Samples/features_image_matching/describe_and_match.cpp
Linker/,0.06,46743552,Linker/
gradient_problem.cc,1.01,236290048,third_party/ceres-solver/internal/ceres/gradient_problem.cc
evaluator.cc,4.88,515964928,third_party/ceres-solver/internal/ceres/evaluator.cc
gradient_checking_cost_function.cc,3.23,507019264,third_party/ceres-solver/internal/ceres/gradient_checking_cost_function.cc
is_close.cc,0.21,122847232,third_party/ceres-solver/internal/ceres/is_close.cc
gradient_problem_solver.cc,3.58,440221696,third_party/ceres-solver/internal/ceres/gradient_problem_solver.cc
gradient_checker.cc,5.80,585302016,third_party/ceres-solver/internal/ceres/gradient_checker.cc
iterative_schur_complement_solver.cc,3.37,482017280,third_party/ceres-solver/internal/ceres/iterative_schur_complement_solver.cc
lapack.cc,2.13,398032896,third_party/ceres-solver/internal/ceres/lapack.cc
levenberg_marquardt_strategy.cc,2.61,432750592,third_party/ceres-solver/internal/ceres/levenberg_marquardt_strategy.cc
matching_test.cpp,15.30,999243776,openMVG/matching/matching_test.cpp
Linker/,0.03,22478848,Linker/
implicit_schur_complement.cc,6.97,637763584,third_party/ceres-solver/internal/ceres/implicit_schur_complement.cc
line_search.cc,3.16,438108160,third_party/ceres-solver/internal/ceres/line_search.cc
linear_operator.cc,0.27,123682816,third_party/ceres-solver/internal/ceres/linear_operator.cc
line_search_preprocessor.cc,2.40,447758336,third_party/ceres-solver/internal/ceres/line_search_preprocessor.cc
line_search_minimizer.cc,4.25,515162112,third_party/ceres-solver/internal/ceres/line_search_minimizer.cc
linear_least_squares_problems.cc,3.00,429228032,third_party/ceres-solver/internal/ceres/linear_least_squares_problems.cc
loss_function.cc,1.06,237289472,third_party/ceres-solver/internal/ceres/loss_function.cc
linear_solver.cc,2.82,432848896,third_party/ceres-solver/internal/ceres/linear_solver.cc
line_search_direction.cc,5.57,591675392,third_party/ceres-solver/internal/ceres/line_search_direction.cc
dogleg_strategy.cc,19.90,1300824064,third_party/ceres-solver/internal/ceres/dogleg_strategy.cc
minimizer.cc,2.22,414351360,third_party/ceres-solver/internal/ceres/minimizer.cc
low_rank_inverse_hessian.cc,3.19,436879360,third_party/ceres-solver/internal/ceres/low_rank_inverse_hessian.cc
partitioned_matrix_view.cc,1.85,374571008,third_party/ceres-solver/internal/ceres/partitioned_matrix_view.cc
normal_prior.cc,3.13,429981696,third_party/ceres-solver/internal/ceres/normal_prior.cc
problem.cc,0.80,226017280,third_party/ceres-solver/internal/ceres/problem.cc
